1,2,rep_fid,cred,birthyear_S2,birthmonth_S2,gender_S2,birthyear_S1,birthmonth_S1,gender_S1
100453401,100453551,100453,NA,2016,5,0,2012,1,0
100724602,130492521,100724,3,2014,3,0,2017,10,1
100810601,130547411,100810,3,2010,10,0,2016,9,0
107619552,107619551,107619,NA,2013,9,0,2016,9,1
107619552,360086571,107619,3,2011,4,0,2016,9,1
107643601,340342105,107643,2,2007,11,1,2017,3,0
107824601,350127105,107824,2,2007,2,1,2017,5,1
108244602,108244601,108244,3,2017,3,0,2017,3,0
110009103,110009102,110009,NA,1957,12,1,1955,2,0
110015103,110015104,110015,NA,1965,1,1,1959,11,1
110043103,110043104,110043,2,2002,11,0,1985,7,1
110717601,110717502,110717,3,2013,5,1,2018,9,0
111230552,440460401,111230,3,2011,10,1,2016,10,0
111272602,111272603,111272,NA,2016,6,0,2012,2,1
111308553,111308601,111308,3,2017,12,0,2016,1,1
112416555,112416554,112416,0,2013,NA,0,2016,11,0
113129571,510355107,510355,2,2008,NA,1,2013,NA,0
113205552,113205553,113205,NA,2014,5,1,2012,8,0
113332552,113332621,113332,3,2018,8,0,2014,11,0
113332552,113332553,113332,3,2016,7,1,2014,11,0
113332553,113332621,113332,3,2018,8,0,2016,7,1
113589503,441953571,441953,3,2015,10,1,2013,3,1
114614552,114614601,114614,NA,2018,6,0,2010,3,1
115395552,520197521,115395,3,2013,1,0,2016,3,0
115788431,115788551,115788,3,2014,9,1,2012,3,0
115986551,530207521,115986,NA,2013,2,1,2015,7,1
116282555,116282553,116282,NA,1986,4,1,1999,4,0
117697601,117697602,117697,3,2018,10,1,2018,10,1
117697601,130873551,117697,3,2014,10,0,2018,10,1
117697601,130873105,117697,2,2009,1,0,2018,10,1
118065501,621352105,621352,2,2006,12,1,2014,10,0
118191501,621511551,621511,3,2016,11,1,2012,10,1
118291401,118291551,118291,3,2015,6,0,2011,1,0
120001103,120001401,120001,2,2011,12,0,2004,12,0
120039103,120039601,120039,2,2017,2,0,2009,7,0
120072103,120072104,120072,2,2009,6,1,2001,12,0
120079431,120079531,120079,NA,1976,7,1,1973,10,1
120079503,120079502,120079,NA,2000,9,0,2007,7,1
120080401,120080571,200914,3,2014,12,1,2011,7,0
120082105,120082106,120082,1,2008,11,1,2003,10,0
120086105,120086104,120086,2,1999,9,1,2008,3,1
120088105,120088106,120088,2,2009,5,1,2007,1,0
120093105,120093106,120093,2,2009,9,0,1998,3,1
120095103,120095401,120095,2,2011,10,0,2001,12,1
120096106,120096105,116939,1,2002,5,0,2007,3,1
120097501,120097552,120097,NA,1984,NA,1,1990,1,1
120097553,120097555,120097,NA,2012,NA,1,2006,NA,0
120097554,120097555,120097,NA,2012,NA,1,2010,NA,0
120097554,120097553,120097,NA,2006,NA,0,2010,NA,0
120100105,120100103,120100,2,1989,3,1,1997,8,1
120100501,120100401,120100,3,2010,9,0,2014,5,0
120101104,120101103,120101,1,1997,12,0,2007,9,0
120102401,120102501,120102,3,2014,8,0,2012,2,0
120103105,120103401,120103,2,2011,10,1,2002,2,1
120109601,120109521,120109,3,2014,7,0,2017,4,0
120110105,693086601,693086,2,2018,1,0,2009,1,0
120569555,120569553,120569,NA,1984,5,1,1987,6,0
120569601,120569556,120569,NA,2005,12,0,2017,NA,0
124102571,350009521,350009,0,2013,12,1,2015,12,0
124347572,440226552,440226,3,2015,1,0,2016,8,1
125984552,125984551,125984,1,2013,8,0,2016,2,0
127185601,127185551,127185,3,2015,1,0,2016,10,1
127689502,127689504,360321,NA,2011,9,1,2008,11,1
127689502,127689503,360321,NA,2010,3,0,2008,11,1
127689503,127689504,360321,NA,2011,9,1,2010,3,0
127889552,127889553,127889,NA,2014,4,0,2012,8,0
127889552,127889554,127889,NA,2017,2,1,2012,8,0
127889554,127889553,127889,NA,2014,4,0,2017,2,1
128367501,128367551,128367,NA,2015,2,1,2012,3,0
128750551,410202521,128750,3,2012,10,1,2015,5,1
129682601,510322503,129682,3,2013,10,1,2016,11,1
129938501,129938601,129938,0,2017,5,0,2013,5,1
129938501,411415107,129938,0,2008,5,0,2013,5,1
129938601,411415107,129938,2,2008,5,0,2017,5,0
130006105,130006401,130006,2,2012,8,1,2002,10,1
130007104,130007103,130007,2,1984,8,0,1986,12,1
130009105,130009104,130009,NA,1985,12,0,1989,8,1
130010103,130010102,130010,NA,1988,4,1,1985,12,0
130011103,130011531,130011,NA,1976,6,1,1993,6,0
130011503,130011502,130011,NA,2001,3,1,2012,10,0
130013103,130013104,130013,2,1985,8,1,1985,8,1
130020105,130020106,130020,2,2006,12,1,1995,11,0
130022106,130022107,130022,2,2008,12,0,2001,12,1
130024434,130024433,130024,NA,1999,10,1,2007,5,0
130027105,130027401,130027,2,2011,7,1,2009,2,0
130029106,130029105,130029,2,2003,2,1,2010,1,0
130030104,130030103,130030,2,1991,4,1,2007,3,0
130032105,130032401,130032,2,2010,6,0,2000,5,0
130034106,130034105,130034,2,1999,5,0,2007,12,1
130036105,130036402,630101,NA,2012,5,1,2007,8,0
130036501,130036401,130036,3,2010,9,0,2014,6,1
130037104,130037106,130037,2,1996,4,1,1987,8,1
130037401,130037107,130037,3,2010,3,0,2012,3,1
130040104,130040103,130040,NA,1992,5,1,2001,10,1
130042105,130042601,130042,2,2016,12,1,2005,11,0
130042105,130042401,130042,2,2011,6,0,2005,11,0
130042401,130042601,130042,3,2016,12,1,2011,6,0
130046107,130046106,130046,2,2004,8,1,2009,2,1
130051104,130051103,130051,2,2001,10,1,2010,4,1
130052103,130052104,130052,NA,1987,12,0,1978,4,1
130055104,130055103,130055,2,1997,11,0,2005,7,1
130057105,130057106,130057,2,2007,6,0,2004,6,0
130058104,130058103,130058,NA,1992,1,1,2008,5,1
130059104,130059103,130059,2,1998,3,1,2007,1,1
130062103,130062105,130062,2,1992,11,0,2001,12,0
130062104,130062103,130062,2,2001,12,0,2005,1,1
130062104,130062105,130062,2,1992,11,0,2005,1,1
130063434,130063435,130063,NA,2006,8,0,2006,8,0
130063434,130063433,130063,NA,2001,2,0,2006,8,0
130063435,130063433,130063,NA,2001,2,0,2006,8,0
130065105,130065106,130065,2,2009,12,0,2006,1,1
130066601,130066401,130066,3,2012,4,1,2018,1,0
130068501,130068102,130068,NA,1968,11,1,1972,9,1
130069433,130069551,130069,NA,2015,11,0,2004,2,1
130070401,130070501,130070,3,2013,6,0,2011,1,1
130071433,130071551,130071,NA,2014,9,1,2008,7,1
130072104,130072103,130072,2,2003,8,0,2007,11,1
130073401,130073103,130073,2,2005,4,0,2011,5,0
130073501,130073103,130073,2,2005,4,0,2012,12,1
130073501,130073401,130073,3,2011,5,0,2012,12,1
130074401,130074105,130074,2,2005,8,1,2010,11,1
130074552,130074553,130074,NA,2010,9,0,2006,11,0
